DateTime,Latitude,Longitude,Depth,Magnitude,MagType,NbStations,Gap,Distance,RMS,Source,EventID
1983/12/12 05:15:09.50,39.8320,-75.6600,5.00,2.00,Unk,5,,,0.00,NEI,198312124009
1983/12/23 10:51:21.80,37.7750,-80.8420,13.70,0.40,Mc,11,290,21,0.20,SE,
1984/01/14 20:14:31.29,41.6450,-83.4270,5.00,2.50,Unk,13,,,0.90,NEI,198401144039
1984/01/19 23:03:34.06,39.7950,-75.5240,5.00,2.40,Unk,6,,,0.39,NEI,198401194027
1984/02/02 05:10:19.70,37.7170,-82.2180,2.50,1.90,Mc,18,244,112,0.30,SE,
1984/02/06 12:27:03.40,37.5730,-78.1490,0.80,1.10,Mc,9,175,25,0.10,SE,
1984/02/14 20:51:46.10,36.1380,-83.7270,10.80,1.40,Mc,12,122,27,0.20,SE,
1984/03/04 11:06:27.90,36.0420,-83.6570,11.00,1.30,Mc,7,192,44,0.10,SE,
1984/03/11 04:01:39.00,37.4700,-80.8900,1.10,1.10,Mc,12,154,14,0.50,SE,
1984/05/12 07:03:57.80,35.7920,-83.6650,12.80,0.40,Mc,6,149,18,0.00,SE,
1984/05/19 03:46:29.60,36.3770,-83.4990,6.00,2.10,Mc,23,219,55,0.10,SE,
1984/05/29 11:35:35.00,38.1060,-78.7910,8.40,1.30,Mc,10,328,32,0.10,SE,
1984/06/23 14:03:57.30,35.7870,-83.9930,13.80,1.80,Mc,19,165,12,0.10,SE,
1984/07/02 19:51:38.60,37.2780,-80.7250,10.80,1.50,Mc,20,91,7,0.30,SE,
1984/08/06 11:13:42.00,35.7500,-83.9730,19.60,1.30,Mc,14,73,3,0.10,SE,
1984/09/06 23:42:01.40,35.7520,-83.8670,17.70,1.70,Mc,18,63,7,0.20,SE,
1984/10/09 05:33:31.50,37.7130,-80.8910,13.40,2.10,Mc,18,222,14,0.20,SE,
1984/10/17 08:57:40.70,37.9340,-77.5070,14.70,1.10,Mc,17,202,17,0.20,SE,
1984/10/19 07:49:13.00,36.5870,-83.7700,18.10,2.20,Mc,14,180,10,0.10,SE,
1984/10/28 07:22:56.10,36.8080,-83.3380,7.10,2.00,Mc,11,222,37,0.10,SE,
1984/11/17 03:17:28.30,37.2660,-80.7270,10.30,0.00,Mc,10,118,8,0.10,SE,
1984/12/02 12:29:34.10,37.4420,-77.9260,4.50,1.10,Mc,9,258,42,0.20,SE,
1984/12/16 04:02:11.20,36.1250,-83.7110,1.40,2.20,Mc,18,160,14,0.20,SE,
