EVENTID,AUTHOR   ,DATE      ,TIME       ,LAT     ,LON      ,DEPTH,DEPFIX,AUTHOR   ,TYPE  ,MAG ,,,
TRUE  ,OTT      ,MN    ,2,,,,,,,,,,
3297081,NEIC     ,8/22/2002,18:58:37,41.53,-72.1,12,,,,,,,
,,,,,,,,,,,,,
TRUE  ,LDO      ,MD    ,2,,,,,,,,,,
5778197,OTT      ,9/16/2002,15:35.1,42.8056,-78.6406,5,,,,,,,
,,,,,,,,,,,,,
TRUE  ,OTT      ,MN    ,2,,,,,,,,,,
6263710,OTT      ,12/24/2002,45:24.1,42.6273,-74.045,5,,,,,,,
,,,,,,,,,,,,,
TRUE  ,OTT      ,MN    ,2.4,,,,,,,,,,
6538139,OTT      ,1/16/2003,37:28.7,41.5403,-77.3287,0,,,,,,,
,,,,,,,,,,,,,
TRUE  ,OTT      ,MN    ,2.1,,,,,,,,,,
6584391,OTT      ,2/10/2003,34:44.9,41.9593,-80.6237,5,,,,,,,
,,,,,,,,,,,,,
TRUE  ,OTT      ,MN    ,2.4,,,,,,,,,,
6611974,OTT      ,3/10/2003,51:59.2,43.4511,-78.6081,5,,,,,,,
,,,,,,,,,,,,,
TRUE  ,OTT      ,MN    ,2.2,,,,,,,,,,
6620423,OTT      ,3/23/2003,59:58.3,42.192,-80.1944,5,,,,,,,
,,,,,,,,,,,,,
TRUE  ,OTT      ,MN    ,2.3,,,,,,,,,,
6696781,NEIC     ,4/20/2003,24:43.8,41.361,-74.37,7,,,,,,,
,,,,,,,,,,,,,
TRUE  ,LDO      ,MD    ,2.3,,,,,,,,,,
6832331,OTT      ,5/1/2003,26:57.8,41.6764,-81.0716,5,,,,,,,
,,,,,,,,,,,,,
TRUE  ,OTT      ,MN    ,2,,,,,,,,,,
6844359,OTT      ,5/19/2003,12:40.8,43.2159,-78.2114,0,,,,,,,
,,,,,,,,,,,,,
TRUE  ,OTT      ,MN    ,2.1,,,,,,,,,,
