emw,lon(dE),lat(dN),dp(km),y,m,d,h,m,s,mwsig,nstar,comment
4.5,-89.16,38.66,0,1857,10,8,10,0,0,0.22,1.137,BHb|4.5mwd
3.93,-78.97,42.74,0,1857,10,23,20,15,0,0.22,1.137,NCE|lnfa=10.7
2.65,-89.2,36.6,0,1857,11,9,0,0,0,0.515,1.886,SSC|TMP01054
2.68,-68,46.7,0,1857,12,8,20,0,0,0.5,1.94,NCE|io=04.0
4.19,-80.73,32.78,0,1857,12,19,8,50,0,0.22,1.137,NCE|lnfa=11.5
3.53,-70.2,44.1,0,1857,12,23,18,30,0,0.22,1.137,NCE|lnfa=09.3
2.68,-78.5,42.9,0,1858,1,1,7,0,0,0.5,1.94,NCE|io=04.0
2.68,-70.28,43.65,0,1858,3,3,14,0,0,0.5,1.94,NCE|io=04.0
2.68,-81.3,41.7,0,1858,4,10,11,30,0,0.5,1.94,NCE|io=04.0
2.68,-72.1,45.5,0,1858,5,17,20,0,0,0.5,1.94,NCE|io=04.0
3.18,-73,41.3,0,1858,7,1,3,45,0,0.22,1.137,NCE|lnfa=07.9
2.65,-96.3,42.5,0,1858,7,3,0,0,0,0.515,1.886,SSC|TMP01075
4.01,-89.2,36.5,0,1858,9,21,0,0,0,0.5,1.94,NCE|io=06.0
2.68,-71.31,41.49,0,1859,1,10,4,0,0,0.5,1.94,NCE|io=04.0
2.68,-81.5,37.1,0,1859,3,22,0,0,0,0.5,1.94,NCE|io=04.0
3.75,-66.79,44.99,0,1859,10,26,15,0,0,0.22,1.137,NCE|lnfa=10.1
4.62,-94.82,45.97,0,1860,1,1,0,0,0,0.5,1.94,J94|4.62mwd
4.46,-80.57,33.68,0,1860,1,19,18,0,0,0.22,1.137,NCE|lnfa=12.2
2.68,-70.5,42.2,0,1860,3,17,2,30,0,0.5,1.94,NCE|io=04.0
4.16,-87.5,37.5,0,1860,8,7,15,30,0,0.22,1.137,NCE|lnfa=11.4
6.08,-70.1,47.5,0,1860,10,17,11,15,0,0.25,1.18,J94|6.08mwd
